Time (s),Distance (cm),ax (mg),ay (mg),az (mg),vx (m/s)
2.04,796.0,-11.0,93.0,1080.0,-1.6782948000000004
2.06,794.0,-136.0,39.0,1017.0,-1.7049780000000005
2.08,790.0,15.0,-78.0,865.0,-1.7020350000000006
2.1,789.0,-234.0,19.0,877.0,-1.7479458000000008
2.12,788.0,-101.0,-226.0,1107.0,-1.7677620000000007
2.14,784.0,39.0,39.0,787.0,-1.7601102000000006
2.16,783.0,31.0,-66.0,854.0,-1.7540280000000006
2.18,780.0,-175.0,-124.0,815.0,-1.7883630000000006
2.2,779.0,-159.0,89.0,975.0,-1.8195588000000007
2.22,776.0,50.0,-331.0,826.0,-1.8097488000000006
2.24,772.0,-11.0,226.0,932.0,-1.8119070000000006
2.26,768.0,-144.0,120.0,998.0,-1.8401598
2.28,767.0,-70.0,288.0,1150.0,-1.8538937999999998
2.3,766.0,-113.0,109.0,1053.0,-1.8760643999999997
2.32,761.0,-171.0,-35.0,865.0,-1.9096145999999998
2.34,760.0,-70.0,132.0,893.0,-1.9233485999999997
2.36,757.0,11.0,-198.0,858.0,-1.9211903999999997
2.38,755.0,11.0,105.0,1025.0,-1.9190321999999997
2.4,755.0,27.0,66.0,1236.0,-1.9137347999999998
2.42,750.0,-117.0,-46.0,897.0,-1.9366902
2.44,749.0,-152.0,-117.0,1189.0,-1.9665126
2.46,747.0,-120.0,-171.0,893.0,-1.9900566
2.48,744.0,-93.0,237.0,1037.0,-2.0083032
2.5,743.0,-89.0,-35.0,932.0,-2.025765
2.52,740.0,-101.0,132.0,819.0,-2.0455812
2.54,737.0,-136.0,-19.0,975.0,-2.0722644
2.56,734.0,31.0,-171.0,678.0,-2.0661822
2.58,731.0,-74.0,23.0,1002.0,-2.080701
2.6,729.0,-234.0,-128.0,1021.0,-2.1266118
2.62,725.0,-148.0,-183.0,834.0,-2.1556494
2.64,723.0,-19.0,81.0,737.0,-2.1593772
2.66,720.0,-31.0,-534.0,744.0,-2.1654594
2.68,719.0,97.0,-183.0,1045.0,-2.1464280000000002
2.7,718.0,-230.0,23.0,819.0,-2.1915540000000004
2.72,715.0,54.0,-74.0,893.0,-2.1809592000000007
