Time (s),Distance (cm),ax (mg),ay (mg),az (mg),vx (m/s),vy (m/s),vz (m/s),PWM,v_resultant (m/s)
1.12,1244,-18.7285714285714,-12.0857142857143,1.24285714285713,-0.178805468571429,-0.115881325714286,0.00688942285714275,0,0.213183820651693
1.16,1243,-17.7285714285714,-12.0857142857143,2.24285714285713,-0.18576216,-0.12062376,0.00776951999999988,0,0.221625894257493
1.2,1242,-16.7285714285714,-12.0857142857143,-1.75714285714287,-0.192326451428571,-0.125366194285714,0.00708001714285702,0,0.229687337986954
1.24,1241,-18.7285714285714,-11.0857142857143,0.242857142857133,-0.199675542857143,-0.129716228571429,0.00717531428571416,0,0.238218612843725
1.28,1243,-16.7285714285714,-12.0857142857143,3.24285714285713,-0.206239834285714,-0.134458662857143,0.0084478114285713,0,0.246344000904147
1.32,1244,-14.7285714285714,-11.0857142857143,5.24285714285713,-0.212019325714286,-0.138808697142857,0.0105051085714284,0,0.25363439471991
1.36,1245,-18.7285714285714,-12.0857142857143,2.24285714285713,-0.219368417142857,-0.143551131428571,0.0113852057142856,0,0.262410084949764
1.4,1247,-17.7285714285714,-13.0857142857143,-2.75714285714287,-0.226325108571428,-0.148685965714286,0.0103033028571427,0,0.27099212021759
1.44,1243,-19.7285714285714,-9.08571428571429,-1.75714285714287,-0.2340666,-0.1522512,0.00961379999999986,0,0.279392244501239
1.48,1241,-17.7285714285714,-11.0857142857143,0.242857142857133,-0.241023291428571,-0.156601234285714,0.009709097142857,0,0.287594228311697
1.52,1244,-13.7285714285714,-11.0857142857143,0.242857142857133,-0.246410382857143,-0.160951268571429,0.00980439428571414,0,0.294481771561273
1.56,1245,-19.7285714285714,-14.0857142857143,1.24285714285713,-0.254151874285714,-0.166478502857143,0.0102920914285713,0,0.303997030022452
1.6,1243,-18.7285714285714,-9.08571428571429,-3.75714285714287,-0.261500965714286,-0.170043737142857,0.00881778857142842,0,0.312050286021826
1.64,1247,-15.7285714285714,-10.0857142857143,-0.757142857142867,-0.267672857142857,-0.174001371428571,0.00852068571428556,0,0.319371003372388
