Time (s),Distance (cm),ax (mg),ay (mg),az (mg),vx (m/s),vy (m/s),vz (m/s),PWM,v_resultant (m/s)
0.04,1160,-1.72857142857143,-2.08571428571429,-0.757142857142867,0,0,0,0,0
0.08,1168,-1.72857142857143,-3.08571428571429,1.24285714285713,-0.000678291428571428,-0.00121083428571429,0.000487697142857139,0,0.00147107016579282
0.12,1169,1.27142857142857,-2.08571428571429,-0.757142857142867,-0.000179382857142857,-0.00202926857142857,0.000190594285714278,0,0.00204607803521064
0.16,1164,1.27142857142857,-2.08571428571429,-1.75714285714287,0.000319525714285715,-0.00284770285714286,-0.000498908571428583,0,0.00290867977049972
0.2,1165,-2.72857142857143,-2.08571428571429,0.242857142857133,-0.000751165714285713,-0.00366613714285714,-0.000403611428571444,0,0.00376400234668213
0.24,1167,2.27142857142857,-1.08571428571429,-3.75714285714287,0.000140142857142858,-0.00409217142857143,-0.0018779142857143,0,0.00450467191765553
0.28,1164,0.271428571428572,2.91428571428571,-2.75714285714287,0.00024665142857143,-0.00294860571428571,-0.00295981714285717,0,0.00418516787055022
0.32,1160,0.271428571428572,-3.08571428571429,-0.757142857142867,0.000353160000000002,-0.00415944,-0.00325692000000003,0,0.00529463794660222
0.36,1168,0.271428571428572,-0.0857142857142854,3.24285714285713,0.000459668571428573,-0.00419307428571428,-0.00198442285714289,0,0.00466166292614864
0.4,1165,0.271428571428572,-3.08571428571429,0.242857142857133,0.000566177142857145,-0.00540390857142857,-0.00188912571428575,0,0.00575252817201522
0.44,1170,3.27142857142857,3.91428571428571,-1.75714285714287,0.00184988571428572,-0.00386794285714286,-0.00257862857142861,0,0.00500323739307149
0.48,1174,2.27142857142857,1.91428571428571,4.24285714285713,0.00274119428571429,-0.00311677714285714,-0.000913731428571471,0,0.00425010011574183
0.52,1175,3.27142857142857,-0.0857142857142854,1.24285714285713,0.00402490285714286,-0.00315041142857143,-0.000426034285714332,0,0.0051289804436471
0.56,1171,-0.728571428571428,0.914285714285715,-3.75714285714287,0.00373901142857143,-0.00279164571428572,-0.00190033714285719,0,0.00503833042917991
0.6,1175,0.271428571428572,4.91428571428572,-2.75714285714287,0.00384552,-0.000863280000000004,-0.00298224000000005,0,0.00494237107534434
0.64,1170,-1.72857142857143,-2.08571428571429,-0.757142857142867,0.00316722857142857,-0.00168171428571429,-0.00327934285714291,0,0.00485938157970161
0.68,1167,0.271428571428572,0.914285714285715,-0.757142857142867,0.00327373714285715,-0.00132294857142858,-0.00357644571428578,0,0.00502578469001612
0.72,1168,-0.728571428571428,3.91428571428571,-0.757142857142867,0.00298784571428572,0.000213017142857136,-0.00387354857142864,0,0.00489662913142739
0.76,1174,0.271428571428572,-1.08571428571429,-1.75714285714287,0.00309435428571429,-0.00021301714285715,-0.0045630514285715,0,0.00551741271688622
0.8,1172,-2.72857142857143,2.91428571428571,-1.75714285714287,0.00202366285714286,0.000930548571428566,-0.00525255428571436,0,0.0057053009147234
0.84,1174,-1.72857142857143,-1.08571428571429,3.24285714285713,0.00134537142857143,0.000504514285714281,-0.00398005714285722,0,0.00423147891471941
0.88,1171,-0.728571428571428,0.914285714285715,-13.7571428571429,0.00105948000000001,0.000863279999999996,-0.00937836000000009,0,0.00947741454819835
0.92,1175,-3.72857142857143,0.914285714285715,0.242857142857133,-0.000403611428571424,0.00122204571428571,-0.00928306285714295,0,0.0093718490130147
0.96,1171,-2.72857142857143,-3.08571428571429,-0.757142857142867,-0.00147430285714285,1.12114285714269E-05,-0.00958016571428581,0,0.00969294948526441
1,1173,1.27142857142857,-3.08571428571429,0.242857142857133,-0.000975394285714278,-0.00119962285714286,-0.00948486857142867,0,0.00961005831560137
1.04,1177,1.27142857142857,0.914285714285715,-2.75714285714287,-0.000476485714285706,-0.000840857142857145,-0.0105667714285715,0,0.0106108782762921
1.08,1171,4.27142857142857,0.914285714285715,-2.75714285714287,0.00119962285714287,-0.00048209142857143,-0.0116486742857144,0,0.0117202013531998
1.12,1174,-2.72857142857143,-3.08571428571429,2.24285714285713,0.000128931428571438,-0.00169292571428572,-0.0107685771428573,0,0.0109015996289091
1.16,1170,2.27142857142857,-0.0857142857142854,0.242857142857133,0.00102024000000001,-0.00172656,-0.0106732800000001,0,0.0108600554809634
1.2,1173,1.27142857142857,-2.08571428571429,-1.75714285714287,0.00151914857142858,-0.00254499428571429,-0.011362782857143,0,0.0117429826941444
1.24,1172,-0.728571428571428,-5.08571428571429,4.24285714285713,0.00123325714285715,-0.00454062857142858,-0.00969788571428584,0,0.0107790175030673
1.28,1170,-0.728571428571428,-2.08571428571429,3.24285714285713,0.000947365714285721,-0.00535906285714286,-0.0084253885714287,0,0.0100301659549069
1.32,1170,-1.72857142857143,-3.08571428571429,-1.75714285714287,0.000269074285714292,-0.00656989714285715,-0.00911489142857156,0,0.0112390922762295
1.36,1169,2.27142857142857,1.91428571428571,0.242857142857133,0.00116038285714286,-0.00581873142857143,-0.00901959428571442,0,0.0107961662126835
1.4,1172,-3.72857142857143,-0.0857142857142854,0.242857142857133,-0.000302708571428557,-0.00585236571428572,-0.00892429714285728,0,0.010676370938993
1.44,1171,-1.72857142857143,3.91428571428571,-0.757142857142867,-0.000980999999999986,-0.0043164,-0.00922140000000015,0,0.0102287774401442
1.48,1173,-1.72857142857143,3.91428571428571,-2.75714285714287,-0.00165929142857142,-0.00278043428571429,-0.010303302857143,0,0.0108000978064144
1.52,1169,-2.72857142857143,2.91428571428571,3.24285714285713,-0.00272998285714284,-0.00163686857142857,-0.00903080571428587,0,0.00957536406459842
